show_name,show_player,show_location,show_time
杨和苏《理想国》演唱会北京站,艺人：杨和苏,北京 | 国家体育馆,2024.09.28 周六 19:00
John Legend约翰传奇 “An Evening of Music and Stories-音乐与故事之夜”北京演唱会,艺人：约翰传奇（John Legend）,北京 | 首都体育馆,2024.10.03 周四 19:30
【虚无美术馆】高杨个人音乐会,艺人：高杨,北京 | 天桥剧场,2024.11.10 周日 19:30
2024北京MDSK音乐节,艺人：小鬼-王琳凯、马思唯、万妮达、王以太、Gali、弦子、艾志恒Asen、APEX(LEGGO&Kyra Zilver&4D）、罗言、step.jad依加、河南说唱之神,北京 | 北京世园公园飞行营地,2024.10.02 周三 12:50
【限定优惠】潘美辰『回家』2024演唱会·北京站,艺人：潘美辰Charming Eagle,北京 | 北京展览馆剧场,2024.12.01 周日 19:30
【神秘嘉宾待官宣】“法国姐姐”乔伊丝·乔纳森《小意思》2024演唱会—北京站,艺人：Joyce Jonathan（乔伊丝·乔纳森）,北京 | 北京展览馆剧场,2024.11.10 周日 19:30
永恒的海豚音·vitas维塔斯2024北京演唱会,艺人：Vitas,北京 | 北京展览馆剧场,2024.11.24 周日 19:30
国潮星动演唱会·唱将季(北京站),艺人：王力宏、周传雄、杨宗纬、林宥嘉、黄子弘凡,北京 | 工人体育场,2024.10.05 周六 19:00
step.jad依加「天赋之音」特别专场（北京站）,艺人：step.jad依加,北京 | 本土王牌LIVE,2024.11.23 周六 20:00
大桥三重唱Ohashi Trio（大桥トリ才）2024年中国巡演北京站,NULL,北京 | 国图艺术中心,2024.12.01 周日 19:30
10.12「KPOPBOOM北京站4.0」BLACKPINK首场专场派对,NULL,北京 | METALBOX,2024.10.12 周六 20:00
【良辰】国风音乐会北京站( 银临/Winky诗/不才/柏凝 ),艺人：银临、winky诗、不才、柏凝,北京 | 京东英特尔电子竞技中心,2024.11.22 周五 20:00
萧敬腾 野生演唱会-北京站,艺人：萧敬腾,北京 | 首都体育馆,2024.09.28 周六 19:00
很美味“当我飞奔向你”2024全国巡演北京站,艺人：很美味,北京 | WeShow Live,2024.11.23 周六 20:00
周蕙『约定25』演唱会·北京站,艺人：周蕙,北京 | 北京展览馆剧场,2024.10.07 周一 19:30
苏运莹「圆与自然」2024个人音乐会 北京站,艺人：苏运莹,北京 | 京东英特尔电子竞技中心,2024.11.23 周六 20:00
谷蓝帝「夏的毕业礼」出道五周年巡演-北京生日场,艺人：谷蓝帝,北京 | 五棵松·爱乐汇艺术空间·都市剧场,2024.10.19 周六 17:00
谢春花「消磨时间」2024同名专辑全国巡演 · 北京站,艺人：谢春花,北京 | EAST LIVE,2024.10.20 周日 20:00
majiko.北京公演,艺人：Majiko,北京 | 福浪LIVEHOUSE-福,2024.10.30 周三 20:00
2024 唐汉霄【伽利略】演唱会-北京站,艺人：唐汉霄,北京 | EAST LIVE,2024.11.08 周五 20:00
『波——波——波II』——2024 Howie Lee全国巡演 北京站,艺人：詹雯婷、HOWIE LEE,北京 | 福浪LIVEHOUSE-福,2024.11.02 周六 20:00
张玮「张玮是谁？」全国巡回LIVE·北京站,NULL,北京 | WeShow Live,2024.10.20 周日 20:00
《光辉岁月--致敬Beyond金曲演唱会》,NULL,北京 | 朝阳剧场,2024.11.07 周四 19:30
伍嘉成「5号底片」演唱会-北京站,艺人：伍嘉成,北京 | EAST LIVE,2024.10.26 周六 19:00
王欣宇&张钰「蓝色的她」2024限定专场 北京站,艺人：王欣宇、张钰,北京 | 疆进酒·OMNI SPACE,2024.11.15 周五 20:00
李斯丹妮「低空飞行」巡回演唱会（北京站）,艺人：李斯丹妮、新秀,北京 | 本土王牌LIVE,2024.10.05 周六 19:30
李雨霏「雨·话」2024专辑首发巡演 北京生日特别场【造音呈现】,艺人：李雨霏,北京 | EAST LIVE,2024.11.07 周四 20:00
【限时早鸟5折】 致敬beyond 「永恒乐队」平安夜专场·爱与和平经典金曲演唱会,NULL,北京 | 北京展览馆剧场,2024.12.24 周二 19:30
海阔天空 怀念家驹【海山】致敬BEYOND金曲演唱会,艺人：黄海山,北京 | 世纪剧院,2024.11.03 周日 19:30
小沈阳 2024《我不！是歌手》演唱会--北京站,艺人：小沈阳,北京 | 华熙LIVE·五棵松·场馆,2024.10.19-10.20
